record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
72,32645662,Differential brain responses for perception of pain during empathic response in binge drinkers compared to non-binge drinkers.,2020,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),binge drinkers compared to non-binge drinkers,associated_with,unclear,,indirect,0.5,"Binge drinkers compared to non-binge drinkers also took longer to respond when viewing pictures depicting pain, in particular when adopting the perspective of self.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),delayed response to pain,increased,"The sentence partially supports the claim by mentioning a group difference, but it does not directly associate the phenotype with the feature. The direction is also unclear, but it can be inferred that the response time is increased. The directness is indirect because it does not name both phenotype and feature.",
73,18479820,An event-related fMRI study on risk taking by healthy individuals of high or low impulsiveness.,2008,Neuroscience letters,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.85,a stronger activation in the insula-orbitofrontal-parietal regions was found in the high impulsiveness group compared to the low impulsiveness group,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,The sentence clearly supports the extracted claim by stating a direct association between impulsivity and functional connectivity in the brain regions mentioned.,
74,21783257,Is cerebellar volume related to bipolar disorder?,2011,Journal of affective disorders,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),bipolar disorder,unknown,unclear,,background,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,no,no,no,no,impulsivity (general),cognitive/behavioral,positive,"The sentence does not clearly state a relationship between cerebellar volume and impulsivity, but it does mention a potential association between the two. The direction of the association is not clear, and the feature type is not specified. The corrected fields reflect the information provided in the sentence.",
75,39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,2024,International journal of molecular sciences,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,unknown,correlates_with,higher,,direct,0.8,"the region of interest (ROI)-based partial correlation analysis with age, sex, and temperament traits as covariates revealed a significant positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the caudate (CAU) at Bonferroni-corrected p < 0.0045.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,receptor binding,higher,"The sentence clearly supports the extracted claim, mentioning a direct correlation between non-planning impulsivity and a specific feature (receptor binding) in a particular brain region (caudate).",
76,26189512,Abnormalities of cortical structures in adolescent-onset conduct disorder.,2015,Psychological medicine,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),adolescent-onset conduct disorder,negatively correlated_with,lower,,direct,0.8,"cortical thickness of the paralimbic structures was found to be negatively correlated with impulsivity and antisocial behaviors measured by the BIS and APSD, respectively.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),behavior,lower,"The sentence does not name the feature type, which should be 'behavior' based on the context. Additionally, the directness is not fully supported because the sentence does not name both phenotype and feature.",
77,30105203,Increased efficiency of brain connectivity networks in veterans with suicide attempts.,2018,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,suicide attempt,correlates_with,higher,,direct,0.85,The nonplanning subscale of BIS correlated with the weighted degrees of the left PCC within SA.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct correlation between nonplanning impulsivity and higher structural connectivity in the left PCC within the context of suicide attempt.",
78,35434889,Distinct neural signatures of schizotypy and psychopathy during visual word-nonword recognition.,2022,Human brain mapping,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,,indirect,0.7,"Higher Motor Impulsivity was associated with lower activity in the fusiform (bilaterally), inferior frontal (right-sided), and temporal gyri (bilaterally) across all stimuli-types over resting baseline.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a specific brain region (fusiform, inferior frontal, and temporal gyri) associated with impulsivity, which is a general aspect of the phenotype. The direction of the association (lower activity) matches the extracted direction.",
79,26079873,Barratt Impulsivity and Neural Regulation of Physiological Arousal.,2015,PloS one,Barratt Impulsiveness Scale fMRI,ventromedial prefrontal cortex,functional connectivity,impulsivity (general),unknown,associated_with,higher,diminished control of physiological arousal,direct,0.85,"Across subjects, higher impulsivity is associated with greater SCR to stop trials.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and functional connectivity in the context of physiological arousal.",
80,35131529,Examination of gamma-aminobutyric acid and glutamate-glutamine levels in association with impulsive behavior in adolescent marijuana users.,2022,Drug and alcohol dependence,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,background,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),,,,
81,25269835,Caudate asymmetry is related to attentional impulsivity and an objective measure of ADHD-like attentional problems in healthy adults.,2016,Brain structure & function,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,attentional impulsivity,ADHD-like attentional problems,correlates_with,higher,differential passage of information through frontal-striatal networks may produce instability leading to attentional problems,direct,0.8,We found that larger right relative to left caudate volumes correlated with both higher attentional impulsiveness and worse ADHD scores on the TOVA.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,structural connectivity,higher,,
82,19560123,Ventral striatal activation during reward anticipation correlates with impulsivity in alcoholics.,2009,Biological psychiatry,Barratt Impulsiveness Scale fMRI,ventral striatum,unknown,impulsivity (general),alcoholics,correlates_with,higher,,direct,0.8,"Low activation of the ventral striatum and anterior cingulate during gain anticipation was correlated with high impulsivity only in alcoholics, not in control subjects.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),reward anticipation,lower,"The sentence mentions a correlation between low activation of the ventral striatum and high impulsivity, but it does not directly support the claim. The corrected phenotype and feature type are provided, and the direction is corrected to 'lower' to match the sentence.",
83,14572528,Response inhibition and impulsivity: an fMRI study.,2003,Neuropsychologia,Barratt Impulsiveness Scale fMRI,unknown,BOLD variability,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,"Subjects with greater scores on impulsivity scales and who made more errors had greater activation of paralimbic areas during response inhibition, while less impulsive individuals and those with least errors activated higher order association areas.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),BOLD variability,greater,"The sentence partially supports the claim, but the direction and directness need correction. The sentence states that subjects with greater scores on impulsivity scales had greater activation, which implies greater activation is associated with higher impulsivity, not lower. Additionally, the sentence does not name both phenotype and feature explicitly, but the extracted claim captures the relevant parts.",
84,33872964,Diffusion tensor imaging of corpus callosum in adolescent females with borderline personality disorder.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),Borderline Personality Disorder,correlates_with,unclear,,indirect,0.7,There was a negative correlation between FA values in the genu and body of CC and impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,negative,"The sentence clearly supports the extracted claim, mentioning a specific phenotype (impulsivity), feature type (structural connectivity), relationship (correlates_with), and direction (negative correlation).",
85,31688973,Volumetric Prefrontal Cortex Alterations in Patients With Alcohol Dependence and the Involvement of Self-Control.,2019,"Alcoholism, clinical and experimental research",Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),alcohol dependence,associated_with,lower,,direct,0.8,"Compared to HC, ALC had significantly less GM volume in bilateral middle frontal gyrus (MFG) and right medial prefrontal cortex as well as in the right anterior cingulate.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the association between impulsivity (general) and lower structural connectivity in the brain, specifically in the bilateral middle frontal gyrus and right medial prefrontal cortex and right anterior cingulate, which are relevant brain regions.",
86,30549328,Impulsivity trait and proactive cognitive control: An fMRI study.,2019,The European journal of neuroscience,Barratt Impulsiveness Scale fMRI,unknown,unknown,motor impulsivity,unknown,associated_with,higher,diminished reactivity threshold and reduced control over covert urges,direct,0.85,We found a positive significant correlation between motor impulsivity scores and the activation of left sensorimotor cortices.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,brain activity in left sensorimotor cortices,higher,"The sentence directly supports the association between motor impulsivity and brain activity in left sensorimotor cortices, with a positive correlation indicating higher activation.",
87,23274773,Morphometric correlation of impulsivity in medial prefrontal cortex.,2013,Brain topography,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,correlates_with,unclear,,direct,0.8,The VBM analysis showed that impulsivity appears to be reliant on a network of cortical (medial prefrontal cortex and dorsolateral prefrontal cortex) and subcortical (ventral striatum) structures,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,impulsivity (general),structural connectivity,positive,"The sentence partially supports the claim as it mentions a correlation between impulsivity and brain structures, but the direction of the correlation is not explicitly stated. The corrected phenotype, feature type, and direction are provided based on the extracted claim.",
88,34461353,Impulsivity is related to overhasty risk learning in attention-deficit/hyperactivity disorder: A computational psychiatric approach.,2021,Journal of psychiatric research,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),attention-deficit/hyperactivity disorder,associated_with,higher,,direct,0.85,"The degree of overhasty learning in ADHD patients was significantly correlated with the BIS score (r = 0.424, p = 0.009).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),behavioral,higher,The sentence does not directly support the feature type 'functional connectivity' as it mentions a correlation with a behavioral score (BIS). The directness is also not fully supported as it does not name both phenotype and feature.,
89,26460483,Lateral prefrontal model-based signatures are reduced in healthy individuals with high trait impulsivity.,2015,Translational psychiatry,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.9,Right lateral prefrontal model-based signatures were reduced in high-impulsive individuals.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly states that high-impulsive individuals have reduced lateral prefrontal model-based signatures, which matches the extracted claim.",
90,26393430,Subtypes of trait impulsivity differentially correlate with neural responses to food choices.,2016,Behavioural brain research,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,unknown,correlates_with,higher,,direct,0.85,both measures correlated positively with striatum activation during high versus low energy choices,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,unknown,higher,"The sentence clearly supports the phenotype, feature, relationship, and direction when stated.",
91,27766203,A negative relationship between ventral striatal loss anticipation response and impulsivity in borderline personality disorder.,2016,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,ventral striatal,functional connectivity,impulsivity (general),borderline personality disorder,correlates_with,lower,,direct,0.85,"BPD patients, on the other hand, exhibited a significantly negative correlation between ventral striatal loss anticipation responses and BIS-11 scores, whereas this correlation was significantly positive in healthy controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim by stating a negative correlation between ventral striatal loss anticipation responses and impulsivity in BPD patients, which matches the phenotype-feature association in the claim. The direction of the correlation is also correctly captured as 'lower'.",
92,24909828,Attentional impulsivity in binge eating disorder modulates response inhibition performance and frontal brain networks.,2015,International journal of obesity (2005),Barratt Impulsiveness Scale fMRI,prefrontal control network,functional connectivity,attentional impulsivity,binge eating disorder,related_to,lower,attentional impulsiveness-related attenuation in response inhibition performance,direct,0.8,"Specifically, increased attentional impulsiveness (a subscale of the BIS-11) in BED was related to decreased response inhibition performance and hypoactivity in the prefrontal control network, which was activated when response inhibition was required.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsiveness,response inhibition performance,lower,,
93,30991086,A search for cortical correlates of trait impulsivity in Parkinson´s disease.,2019,Behavioural brain research,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,Parkinson's disease,predicts,higher,,direct,0.8,"Using a multiple regression model, CT in inferior and superior frontal, anterior cingulate and precentral regions significantly predicted BIS attentional subscores (p = 0.041).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,behavioral,higher,"The sentence clearly supports the claim by stating a direct relationship between CT in specific brain regions and BIS attentional subscores, which is associated with nonplanning impulsivity.",
94,38078981,Cortical thickness of the inferior parietal lobule as a potential predictor of relapse in men with alcohol dependence.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,alcohol dependence,predicts,lower,,direct,0.85,The cortical thicknesses of the inferior-parietal lobules were significantly higher in abstainers compared with those in relapsers.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence does not support the claim because it mentions a group difference (abstainers vs. relapsers) but not a phenotype-feature association. Additionally, the direction of the relationship is the opposite of what is claimed in the extracted claim.",
95,36945425,Cortical thickness of the inferior parietal lobule as a potential predictor of relapse in men with alcohol dependence.,2023,Research square,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,alcohol dependence,predicts,higher,,direct,0.85,"Compared to abstainers, relapsers showed higher inattention and non-planning impulsivity on the 11th version of the Barratt Impulsive Scale.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,behavioral,higher,"The sentence clearly supports the claim by stating a direct association between the phenotype (nonplanning impulsivity) and a feature (behavioral, as indicated by the Barratt Impulsive Scale) in the context of alcohol dependence, with a higher direction.",
96,27862593,Serotonergic modulation of orbitofrontal activity and its relevance for decision making and impulsivity.,2017,Human brain mapping,Barratt Impulsiveness Scale fMRI,unknown,BOLD variability,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,Orbitofrontal activity was also related to the Barratt Impulsivity Scale.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),BOLD variability,null,"The sentence supports the phenotype and feature, but the direction is not specified. The relationship is also supported, but the directness is not clear as it does not name both phenotype and feature.",
97,32571005,"Cortical Volumetric Correlates of Childhood Trauma, Anxiety, and Impulsivity in Bipolar Disorder.",2020,Psychiatry investigation,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),bipolar disorder,correlates_with,lower,,direct,0.8,BD patients revealed significant inverse correlations between the GMV in the right precentral gyrus and BIS scores; between the GMV in the left middle frontal gyrus and CTQ scores.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the claim by stating a correlation between GMV in specific brain regions and impulsivity (BIS scores) and childhood trauma (CTQ scores), with the direction of the correlation being inverse, indicating lower GMV is associated with higher impulsivity and trauma.",
98,26245713,"Association of COMT and SLC6A3 polymorphisms with impulsivity, response inhibition and brain function.",2015,Cortex; a journal devoted to the study of the nervous system and behavior,Barratt Impulsiveness Scale fMRI,fronto-striatal,BOLD variability,impulsivity (general),unknown,associated_with,higher,reduced striatal dopamine transporter expression leading to increased extracellular dopamine levels,direct,0.8,Homozygosity of the 10R allele was associated with greater fronto-striatal BOLD response than genotypes with at least one 9R allele.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,,
99,16890410,Impulsivity and BOLD fMRI activation in MDMA users and healthy control subjects.,2006,Psychiatry research,Barratt Impulsiveness Scale fMRI,unknown,BOLD variability,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,"A significant correlation between BIS scores and DLPFC activation was found, supporting a role for the DLPFC in BIS-measured impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),BOLD variability,positive correlation,"The sentence supports the phenotype and feature, but the direction is not explicitly stated as 'higher'. The directness is also not fully supported because the sentence does not name both phenotype and feature, but it does name the brain region (DLPFC) which is related to the feature.",
100,31071323,Brain structure and trait impulsivity: A comparative VBM study contrasting neural correlates of traditional and alternative concepts in healthy subjects.,2019,Neuropsychologia,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"BIS-11 total score was positively correlated with right inferior parietal, postcentral, and supramarginal grey matter (p < 0.05, FWE cluster-level corrected).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),trait impulsivity,higher,The sentence clearly supports the extracted claim by stating a positive correlation between BIS-11 total score (a measure of impulsivity) and grey matter in specific brain regions.,
101,29876253,Pedophilic sex offenders are characterised by reduced GABA concentration in dorsal anterior cingulate cortex.,2018,NeuroImage. Clinical,Barratt Impulsiveness Scale fMRI,unknown,BOLD variability,impulsivity (general),pedophilic sex offenders,correlates_with,lower,,direct,0.85,"In a region related to cognitive control and salience mapping, pedophilic sex offenders showed reduction of the inhibitory neurotransmitter GABA which may be seen as a neuronal correlate of inhibition and behavioral control.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),GABA concentration,lower,"The sentence partially supports the claim, but the feature type is not explicitly mentioned as BOLD variability. The corrected feature type is GABA concentration, which is mentioned in the sentence. The phenotype and direction are supported, but the directness is not fully supported because the sentence does not name both phenotype and feature.",
102,17994474,Diffusion tensor imaging in MDMA users and controls: association with decision making.,2007,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,MDMA users,correlates_with,higher,,direct,0.85,There was a significant positive correlation between lambda(1) in the rostral body of the corpus callosum and advantageous choices on the IGT.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,nonplanning impulsivity,structural connectivity,higher,"The sentence supports the phenotype, feature, and relationship, but does not directly support the directness of the claim. The phenotype 'nonplanning impulsivity' is not explicitly mentioned in the sentence, but it can be inferred from the context. The feature 'structural connectivity' is supported by the mention of lambda(1) in the corpus callosum. The relationship 'correlates_with' is supported by the positive correlation mentioned in the sentence. The direction 'higher' is supported by the positive correlation. However, the directness 'direct' is not supported because the sentence does not name both phenotype and feature.",
103,29322397,Overlapping and distinct neural metabolic patterns related to impulsivity and hypomania in Parkinson's disease.,2019,Brain imaging and behavior,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,higher,,direct,0.8,We observed a positive association between BIS-11 and SRMI scores and neural metabolism only in the prefrontal areas.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,no,,neural metabolism,,"The sentence does not support the claim because it does not mention impulsivity, and the feature type mentioned in the claim is 'functional connectivity' which is not present in the sentence. The sentence also does not mention a direct association between impulsivity and neural metabolism.",
104,39875081,Exploratory structural neuroimaging examination of impulsivity in severe alcohol use disorder: Persistent implication of the ventral striatum.,2025,Behavioural brain research,Barratt Impulsiveness Scale fMRI,ventral striatum,structural connectivity,impulsivity (general),severe AUD,correlates_with,unclear,,direct,0.7,In the sAUD group there were significant positive correlations between certain impulsivity measures and gray matter volume of the nucleus accumbens.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,"The sentence clearly supports the claim by stating a significant positive correlation between impulsivity measures and gray matter volume in the nucleus accumbens, which is part of the ventral striatum.",
105,30739462,"Differentiation between young adult Internet addicts, smokers, and healthy controls by the interaction between impulsivity and temporal lobe thickness.",2019,Journal of behavioral addictions,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),"Internet addiction, smokers, healthy controls",correlates_with,unclear,,direct,0.7,Internet addicts had a thinner left superior temporal cortex than controls.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),brain structure,decreases,"The sentence directly supports the claim that impulsivity correlates with a thinner left superior temporal cortex, which is a brain structure. The direction is supported as it implies a decrease in brain structure thickness in Internet addicts compared to controls.",
106,24655656,Increased structural connectivity in corpus callosum in adolescent males with conduct disorder.,2014,Journal of the American Academy of Child and Adolescent Psychiatry,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),conduct disorder,associated_with,higher,,direct,0.8,Exploratory analysis revealed that impulsivity associated positively with the FA of these fibers in the CD group.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning impulsivity as the phenotype, structural connectivity as the feature type, association as the relationship, higher as the direction, and directness is also supported as the sentence names both phenotype and feature.",
107,28423021,Trait impulsivity components correlate differently with proactive and reactive control.,2017,PloS one,Barratt Impulsiveness Scale fMRI,frontoparietal/control network,functional connectivity,nonplanning impulsivity,unknown,correlates_with,higher,,direct,0.9,Higher motor impulsiveness was associated with a larger proactive control effect in the inferior parietal lobule and a smaller reactive control effect in the right dorsolateral prefrontal cortex (DLPFC) and anterior cingulate contex.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsiveness,functional connectivity,higher,"The sentence does not directly support the feature type 'functional connectivity' as it is mentioned as 'associated with a larger proactive control effect' and 'a smaller reactive control effect', which are more specific than functional connectivity. The phenotype 'nonplanning impulsivity' is supported, but the corrected phenotype is 'impulsiveness' as it is mentioned in the sentence. The relationship 'correlates_with' is supported, and the direction 'higher' is supported. However, the directness 'direct' is not supported as the sentence does not name both phenotype and feature.",
108,24582821,Differential associations between impulsivity and risk-taking and brain activations underlying working memory in adolescents.,2014,Addictive behaviors,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,unclear,,direct,0.7,"The BIS-11A evidenced that motor impulsivity was associated with activity in regions recruited during all stages of working memory, while attention and non-planning impulsivity was only associated with activity in regions recruited during recognition.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),working memory,positive,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and working memory. The sentence also specifies the type of impulsivity (motor, attention, and non-planning) and the brain regions involved, which supports the claim's phenotype and feature. The relationship is clearly stated as 'associated with', and the direction can be inferred as positive since activity in regions recruited during working memory is mentioned. The directness is also supported since both phenotype and feature are named. There is no overclaiming as the sentence does not mention a group difference without a phenotype-feature association.",
109,40037660,Impulse control deficits among patients with nonsuicidal self-injury: a mediation analysis based on structural imaging.,2025,Journal of psychiatry & neuroscience : JPN,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,patients with nonsuicidal self-injury,associated_with,higher,,direct,0.8,"Patients with NSSI exhibited decreased grey matter volume and increased white matter volume, with no significant difference in cortical thickness.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,nonplanning impulsivity,grey matter volume,lower,"The sentence mentions grey matter volume, which is a different feature than structural connectivity. The direction is also opposite, as 'decreased' implies lower, not higher.",
110,27199831,Altered Gray Matter Volume and White Matter Integrity in College Students with Mobile Phone Dependence.,2016,Frontiers in psychology,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),Mobile Phone Dependence,correlates_with,lower,,direct,0.85,"In light of underlying trait impulsivity, results revealed decreased GMV in the MPD group relative to controls in regions such as the right superior frontal gyrus (sFG), right inferior frontal gyrus (iFG), and bilateral thalamus (Thal).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,The sentence clearly supports the extracted claim by stating a correlation between impulsivity and decreased gray matter volume in specific brain regions.,
111,33316716,Cingulate white matter volume and associated cognitive and behavioral impulsivity in Veterans with a history of suicide behavior.,2021,Journal of affective disorders,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,Veterans with a history of suicide behavior,correlates_with,lower,,direct,0.85,"non-planning on the BIS was negatively correlated with left rACC WMV for Veterans with a history of SA, p = .04.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,structural connectivity,lower,"The sentence clearly supports the extracted claim, mentioning non-planning impulsivity, structural connectivity, correlation, lower direction, and directness.",
112,26483645,"fMRI investigation of response inhibition, emotion, impulsivity, and clinical high-risk behavior in adolescents.",2015,Frontiers in systems neuroscience,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,ARBS risk scores correlated highly (0.78) with impulsivity scores from the Barratt Impulsivity scale (BIS).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral score,higher,"The sentence directly supports the association between impulsivity and a behavioral score, with a higher correlation indicating a higher association.",
113,29034964,Hemispheric asymmetry of the frontolimbic cortex in young adults with borderline personality disorder.,2017,Acta psychiatrica Scandinavica,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,borderline personality disorder,correlates_with,higher,,direct,0.8,greater asymmetry of AI&ACC correlated with a higher score in attention subscale of Barratt Impulsiveness Scale.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,cognitive,higher,"The sentence clearly supports the claim, mentioning a direct correlation between greater asymmetry of AI&ACC and higher scores in the attention subscale of Barratt Impulsiveness Scale, which is related to nonplanning impulsivity.",
