record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label
524,23355606,Synchrony of anterior cingulate cortex and insular-striatal activation predicts ambiguity aversion in individuals with low impulsivity.,2014,"Cerebral cortex (New York, N.Y. : 1991)",nonplanning impulsivity functional connectivity,unknown,functional connectivity,nonplanning impulsivity,healthy participants,predicts,lower,synchrony between the dACC and insula-striatal circuitry,direct,0.8,Individuals with lower nonplanning impulsiveness made greater use of a Pass option and avoided uncertain ambiguous situations. Seed-based functional connectivity analysis during the task runs revealed that stronger activation synchrony between the left dACC and the right anterior insula correlated with greater use of a Pass response option.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,lower,"The sentence clearly supports the phenotype, feature, relationship, and direction when stated.",,Llama 3.1 8B
525,35126053,Regional Homogeneity Abnormalities and Its Correlation With Impulsivity in Male Abstinent Methamphetamine Dependent Individuals.,2021,Frontiers in molecular neuroscience,nonplanning impulsivity resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine dependent individuals,correlates_with,lower,,indirect,0.8,"The ReHo values of the left precentral gyrus were negatively correlated with the BIS-attention, BIS-motor, and BIS-nonplanning subscale scores, while the ReHo values of the postcentral gyrus were only negatively correlated with the BIS-motor subscale scores in MADs.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,lower,"The sentence clearly supports the extracted claim, mentioning a correlation between ReHo values and impulsivity subscale scores in methamphetamine dependent individuals.",,Llama 3.1 8B
527,34406053,Neuroimaging in Attention-Deficit/Hyperactivity Disorder: Recent Advances.,2022,AJR. American journal of roentgenology,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),ADHD,unknown,unclear,,background,0.5,"Most anatomic studies report abnormalities in the frontal lobes, basal ganglia, and corpus callosum; decreased surface area in the left ventral frontal and right prefrontal cortex; thinner medial temporal lobes; and smaller caudate nuclei.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),brain structure,decreased,The sentence clearly supports the claim by mentioning abnormalities in brain structures associated with impulsivity in ADHD.,,Llama 3.1 8B
528,34602972,Altered Variability and Concordance of Dynamic Resting-State fMRI Indices in Patients With Attention Deficit Hyperactivity Disorder.,2021,Frontiers in neuroscience,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),ADHD,associated_with,lower,,indirect,0.8,"Patients with ADHD showed decreased variability of dynamic amplitude of low-frequency fluctuation (dALFF) in the left middle frontal gyrus and increased one in right middle occipital gyrus, as compared with the HCs.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),brain activity variability,lower,"The sentence partially supports the claim, but the feature type needs to be corrected to 'brain activity variability' and the directness is not supported because it does not name both phenotype and feature.",,Llama 3.1 8B
529,33484850,The neural substrates of subliminal attentional bias and reduced inhibition in individuals with a higher BMI: A VBM and resting state connectivity study.,2021,NeuroImage,attentional impulsivity resting-state fMRI,unknown,unknown,attentional impulsivity,higher BMI,associated_with,higher,,indirect,0.8,"A higher BMI predicted slower subliminal processing of images independently of the type of stimulus (food or nonfood, p = 0.001, εp2 = 0.17).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,unknown,higher,"The sentence clearly supports the claim by stating a higher BMI is associated with slower subliminal processing, which is a feature of attentional impulsivity. The direction of the association is also correctly captured as 'higher'.",,Llama 3.1 8B
530,35859076,Centrality and interhemispheric coordination are related to different clinical/behavioral factors in attention deficit/hyperactivity disorder: a resting-state fMRI study.,2022,Brain imaging and behavior,attentional impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),attention deficit/hyperactivity disorder,correlates_with,unclear,,indirect,0.5,"EC was positively correlated with ADHD severity scores at the network level (at p-value < 0.01, Inattentive: Cerebellum rho = 0.273; Hyper/Impulsive: High-Visual Network rho = 0.242, Cerebellum rho = 0.273; Global Index Severity: High-Visual Network rho = 0.241, Cerebellum rho = 0.293).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the claim by stating a positive correlation between EC and ADHD severity scores, specifically mentioning impulsivity and functional connectivity.",,Llama 3.1 8B
531,36843348,"Construction of Meta-Thinking Educational Program Based on Mental-Brain Simulation (MTMBS) and Evaluating its Effectiveness on Executive Functions, Emotion Regulation, and Impulsivity in Children With ADHD: A Resting-State Functional MRI Study.",2023,Journal of attention disorders,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,impulsivity (general),ADHD,associated_with,lower,,direct,0.8,The Meta-Thinking Educational Program had effect on performance of ADHD children and suppressed brain regions related to DMN.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),functional connectivity,lower,"The sentence does not directly mention the feature type or direction, but it does mention a relationship between the Meta-Thinking Educational Program and brain regions related to the default mode network, which is associated with impulsivity. The corrected fields are based on the extracted claim.",,Llama 3.1 8B
533,30520697,Exploring the Brain Lateralization in ADHD Based on Variability of Resting-State fMRI Signal.,2021,Journal of attention disorders,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,ADHD,associated_with,higher,,direct,0.8,"ADHD patients showed significantly increased rightward lateralization in the inferior frontal gyrus (opercular), precuneus, and paracentral lobule, and decreased rightward lateralization in the insula.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,higher,"The sentence directly states that ADHD patients have increased rightward lateralization in certain brain regions, which is associated with attentional impulsivity, a higher level of functional connectivity, and in the direction of higher rightward lateralization.",,Llama 3.1 8B
534,38281353,Neurofeedback for alcohol addiction: Changes in resting state network activity✰.,2024,Psychiatry research. Neuroimaging,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,alcohol dependence,correlates_with,lower,neurofeedback training,direct,0.8,"When comparing the results of the active group from neurofeedback day 3 with baseline 1, a significant reduction in activated voxels in the ventral attention network area was seen.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,lower,"The sentence partially supports the claim, but the direction and directness need to be revised to match the extracted claim.",,Llama 3.1 8B
535,25928822,Altered resting-state frontoparietal control network in children with attention-deficit/hyperactivity disorder.,2015,Journal of the International Neuropsychological Society : JINS,attentional impulsivity resting-state fMRI,frontoparietal/control network,functional connectivity,attentional impulsivity,attention-deficit/hyperactivity disorder,associated_with,lower,disconnection model and executive dysfunction model,direct,0.8,"Furthermore, this aberrant connectivity of the frontoparietal control network in ADHD was associated with symptoms of impulsivity and opposition-defiance, as well as impaired response inhibition and attentional control.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,lower,"The sentence clearly supports the association between altered frontoparietal control network connectivity and attentional impulsivity, which is a symptom of ADHD. The sentence also supports the relationship between this connectivity and other symptoms of ADHD, such as impaired response inhibition and attentional control.",,Llama 3.1 8B
536,28193454,New developments in brain research of internet and gaming disorder.,2017,Neuroscience and biobehavioral reviews,attentional impulsivity resting-state fMRI,unknown,structural connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,lower,reward inhibitory mechanisms,indirect,0.8,"Functional Magnetic Resonance Imaging (fMRI) studies of the resting state and measures of gray matter volume have shown that Internet game playing was associated with changes to brain regions responsible for attention and control, impulse control, motor function, emotional regulation, sensory-motor coordination.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),functional connectivity or brain regions,,The sentence does not directly support the feature type 'structural connectivity' and the direction 'lower'.,,Llama 3.1 8B
537,38047402,Similarity and difference in large-scale functional network alternations between behavioral addictions and substance use disorder: a comparative meta-analysis.,2024,Psychological medicine,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),addiction,associated_with,unclear,,background,0.8,Altered within- and between-network rs-FC showed significant association with clinical characteristics such as the severity of addiction in BA and duration of substance usage in SUD.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),severity of addiction,positive,"The sentence partially supports the claim by mentioning the association with clinical characteristics, but it does not specify the feature type. The direction is unclear, and the directness is background, so these fields need correction.",,Llama 3.1 8B
538,37327696,"Individual differences in delay discounting are associated with dorsal prefrontal cortex connectivity in children, adolescents, and adults.",2023,Developmental cognitive neuroscience,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"Greater delay discounting was associated with greater functional connectivity between the dorsal prefrontal cortex and other default mode network regions, but reduced connectivity with regions in the dorsal and ventral attention networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity (general) and functional connectivity in the brain, specifically in the default mode network.",,Llama 3.1 8B
539,24513387,Altered regional homogeneity and efficient response inhibition in restrained eaters.,2014,Neuroscience,attentional impulsivity resting-state fMRI,unknown,BOLD variability,impulsivity (general),eating disorders,associated_with,unclear,,indirect,0.8,"Compared with UREs, REs showed more ReHo in brain regions associated with food reward (i.e., orbitofrontal cortex (OFC), dorsal-lateral prefrontal cortex (dlPFC)), attention (i.e., lingual gyrus, cuneus, inferior parietal lobule) and somatosensory functioning (i.e., paracentral lobule, anterior insula).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),BOLD variability,increased,"The sentence partially supports the claim by mentioning a group difference (REs vs UREs) and a brain region (ReHo) associated with the phenotype. However, the direction of the association is not explicitly stated, and the feature type is not directly mentioned. The corrected phenotype and feature type are based on the extracted claim, and the corrected direction is inferred from the sentence.",,Llama 3.1 8B
541,27467529,Resting-state functional MRI of abnormal baseline brain activity in young depressed patients with and without suicidal behavior.,2016,Journal of affective disorders,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),depression,associated_with,higher,abnormal neural activity,direct,0.8,"The SU group had abnormal spontaneous neural activity during the resting state, and decreased activity in L-SFG and L-MFG was associated with increased impulsivity in SU group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),behavioral,higher,"The sentence partially supports the claim, but the feature type is not specified. The corrected feature type is 'behavioral' based on the context of impulsivity.",,Llama 3.1 8B
542,29048582,Salience network dynamics underlying successful resistance of temptation.,2017,Social cognitive and affective neuroscience,attentional impulsivity resting-state fMRI,salience/ventral attention network,dynamic connectivity,attentional impulsivity,unknown,correlates_with,higher,,direct,0.8,Individuals whose intrinsic dynamic functional connectivity patterns gravitate toward configurations in which salience detection systems are less strongly coupled with visual systems resist tempting distractors more effectively.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,dynamic connectivity,higher,"The sentence clearly supports the claim by stating a direct relationship between attentional impulsivity and dynamic connectivity in the salience network, with a higher level of connectivity correlating with better resistance to temptation.",,Llama 3.1 8B
544,39592983,Abnormal stability of dynamic functional architecture in drug-naïve children with attention-deficit/hyperactivity disorder.,2024,BMC psychiatry,attentional impulsivity resting-state fMRI,unknown,dynamic connectivity,attentional impulsivity,children with ADHD,associated_with,lower,abnormal stability of dynamic functional architecture,direct,0.8,"We found that children with ADHD exhibited (1) decreased FS in the bilateral superior frontal gyrus (SFG) and increased FS in the right middle temporal gyrus (MTG), which both belong to the default mode network (DMN);",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,dynamic connectivity,lower,"The sentence partially supports the claim, but the direction and directness need to be revised. The sentence mentions a decrease in FS in the bilateral superior frontal gyrus, which is associated with attentional impulsivity, but the direction is not explicitly stated as lower. The sentence also mentions an increase in FS in the right middle temporal gyrus, which is not directly related to the claim. The directness is also not explicitly stated as direct.",,Llama 3.1 8B
545,35089635,Enduring effect of abuse: Childhood maltreatment links to altered theory of mind network among adults.,2022,Human brain mapping,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,adults with and without childhood maltreatment,correlates_with,higher,altered theory of mind network,direct,0.8,The FCs of IPL with dACC and SFG were correlated with the anxious and cyclothymic temperament and attentional impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,correlated with,"The sentence partially supports the claim because it mentions the phenotype and feature, but the direction is not explicitly stated as 'higher'. The directness is also not fully supported because the sentence does not name both phenotype and feature explicitly. The corrected fields are the phenotype, feature type, and direction.",,Llama 3.1 8B
547,26363140,The executive control network and symptomatic improvement in attention-deficit/hyperactivity disorder.,2015,Cortex; a journal devoted to the study of the nervous system and behavior,attentional impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),ADHD,associated_with,higher,integration of prefrontal regions in the executive control network,direct,0.8,Higher connectivity within frontal regions (anterior cingulate cortex) of the executive control network was related to decreases in ADHD symptoms.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly states that higher connectivity is related to decreases in ADHD symptoms, which implies that higher connectivity is associated with lower impulsivity.",,Llama 3.1 8B
548,26296778,Aberrant orbitofrontal connectivity in marijuana smoking adolescents.,2015,Developmental cognitive neuroscience,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,adolescents with heavy marijuana use,associated_with,higher,increased functional connectivity,direct,0.8,Increased OFC functional connectivity to frontal and motor regions was observed in heavy MJ users compared to HC.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,higher,"The sentence partially supports the claim but needs revision or is indirect. The phenotype 'attentional impulsivity' is not explicitly mentioned in the sentence, but it can be inferred as the study is about the effects of marijuana use. The feature type 'functional connectivity' is supported. The relationship 'associated_with' is supported. However, the direction 'higher' is not explicitly mentioned in the sentence, and the directness 'direct' is not supported because the sentence does not name both phenotype and feature.",,Llama 3.1 8B
549,30798413,Abnormal functional network centrality in drug-naïve boys with attention-deficit/hyperactivity disorder.,2019,European child & adolescent psychiatry,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,ADHD,associated_with,lower,aberrant large-scale brain network connectivity,direct,0.8,We found that boys with ADHD exhibited (1) decreased centrality in the left superior temporal gyrus (STG) and increased centrality in the left superior occipital lobe (SOL) and right inferior parietal lobe IPL;,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,lower,"The sentence partially supports the claim as it mentions a group difference, but the phenotype-feature association is not explicitly stated. The direction is mixed, and the directness is not met as it does not name both phenotype and feature. The corrected fields are the phenotype, feature type, and direction.",,Llama 3.1 8B
550,25959594,Neurobiological indicators of disinhibition in posttraumatic stress disorder.,2015,Human brain mapping,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),posttraumatic stress disorder,associated_with,unclear,,background,0.8,"Together, study findings suggest that reductions in cortical thickness in regions involved in flexible decision-making, emotion regulation, and response inhibition contribute to impulse control deficits in PTSD.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),impulse control deficits,increased,"The sentence clearly supports the claim by stating a relationship between cortical thickness and impulsivity in PTSD. The direction of the relationship is implied to be negative (reductions in cortical thickness contribute to impulse control deficits), which matches the direction of the claim. The directness of the relationship is also supported as it is stated to contribute to the phenotype.",,Llama 3.1 8B
553,37011715,Conscientiousness associated with efficiency of the salience/ventral attention network: Replication in three samples using individualized parcellation.,2023,NeuroImage,attentional impulsivity resting-state fMRI,salience/ventral attention network,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,Efficiency of a set of parcels in the SVAN was significantly associated with conscientiousness in all samples.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,,,Llama 3.1 8B
556,32114120,Estimating individual scores of inattention and impulsivity based on dynamic features of intrinsic connectivity network.,2020,Neuroscience letters,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),ADHD,associated_with,unclear,,indirect,0.8,"The estimated clinical scores were significantly correlated to inattention (r = 0.4 ± 0.02, p < 0.01) and impulsivity (r = 0.31 ± 0.02, p < 0.01).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,positive,"The sentence clearly supports the association between impulsivity and the estimated clinical scores, indicating a positive direction.",,Llama 3.1 8B
557,30366150,Mapping Internet gaming disorder using effective connectivity: A spectral dynamic causal modeling study.,2019,Addictive behaviors,attentional impulsivity resting-state fMRI,default mode network,dynamic connectivity,unknown,Internet gaming disorder,correlates_with,lower,effective connectivity,direct,0.8,Our findings suggest that the decreased excitatory connectivity from the mPFC to the PCC may be a crucial biomarker for IGD.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,Internet gaming disorder,excitatory connectivity,decreased,"The sentence clearly supports the claim, mentioning a specific phenotype (Internet gaming disorder), feature type (excitatory connectivity), relationship (correlates with), direction (lower), and directness (direct).",,Llama 3.1 8B
558,36055063,PTSD symptomatology is selectively associated with impaired sustained attention ability and dorsal attention network synchronization.,2022,NeuroImage. Clinical,attentional impulsivity resting-state fMRI,dorsal attention network,functional connectivity,attentional impulsivity,PTSD,associated_with,lower,disrupting proactive engagement of attentional control circuitry,direct,0.9,"PTSD symptoms were selectively associated with reduced sustained attention ability, but not more impulsive response strategies.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,attentional impulsivity,functional connectivity,lower,"The sentence mentions a relationship between PTSD symptoms and reduced sustained attention ability, but it does not directly mention the feature type or direction. The corrected fields are based on the extracted claim.",,Llama 3.1 8B
559,27812554,Attention-Deficit/Hyperactivity Disorder symptoms coincide with altered striatal connectivity.,2016,Biological psychiatry. Cognitive neuroscience and neuroimaging,attentional impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),ADHD,associated_with,higher,altered connectivity,indirect,0.8,Inattention and hyperactivity/impulsivity symptom scores were associated with increases in functional connectivity in the networks of posterior putamen and ventral caudate.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning impulsivity (a type of inattention and hyperactivity/impulsivity) and functional connectivity, which is associated with increases in the networks of posterior putamen and ventral caudate, indicating higher connectivity.",,Llama 3.1 8B
560,39551190,Attention and emotion in adolescents with ADHD; a time-varying functional connectivity study.,2025,Journal of affective disorders,attentional impulsivity resting-state fMRI,unknown,dynamic connectivity,impulsivity (general),ADHD,associated_with,unclear,,indirect,0.8,"We present two significant group*behavior effects. Compared to controls, adolescents with ADHD had 1) diminished salience network-centered dynamic FNC that was driven by an integrated ADHD phenotype (p < .004, r = 0.57) and 2) more variable patterns of global connectivity, as measured through meta-state analysis, which were driven by heightened emotional reactivity (p < .002, r = 0.63).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),dynamic connectivity,unclear,The sentence clearly supports the extracted claim. The phenotype 'impulsivity (general)' is mentioned in the sentence as an 'integrated ADHD phenotype'. The feature type 'dynamic connectivity' is supported by the mention of 'salience network-centered dynamic FNC' and 'meta-state analysis'. The relationship 'associated_with' is supported by the phrase 'driven by'. The direction 'unclear' is supported by the sentence structure. The directness 'indirect' is supported by the sentence structure.,,Llama 3.1 8B
561,39147392,"Evaluation of potential alterations related to ADHD in the effective connectivity between the default mode network and cerebellum, hippocampus, thalamus, and primary visual cortex.",2024,"Cerebral cortex (New York, N.Y. : 1991)",attentional impulsivity resting-state fMRI,default mode network,dynamic connectivity,attentional impulsivity,ADHD,correlates_with,higher,effective connectivity,direct,0.8,Our results demonstrated a positive correlation between ADHD and effective connectivity between the right cerebellum and three DMN nodes (intrinsically inhibitory connections).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,dynamic connectivity,higher,"The sentence does not directly support the claim because it does not mention the phenotype-feature association. However, it does support the relationship and direction, but the direction is mixed in the sentence. The corrected fields are based on the extracted claim.",,Llama 3.1 8B
563,27881961,Functional Connectivity of Child and Adolescent Attention Deficit Hyperactivity Disorder Patients: Correlation with IQ.,2016,Frontiers in human neuroscience,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),ADHD,correlates_with,unclear,,background,0.5,The frontoparietal network is known to be related to hyperactive and impulsive behaviors.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),behavior,,"The sentence does not mention the feature type, and the direction is unclear. The phenotype is partially supported as impulsivity is mentioned, but it is not the only phenotype associated with the frontoparietal network. The relationship is supported as it is mentioned that the network is related to impulsive behaviors.",,Llama 3.1 8B
564,28762756,Intranasal Oxytocin Selectively Modulates Large-Scale Brain Networks in Humans.,2017,Brain connectivity,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,attentional impulsivity,unknown,modulates,lower,modulation of functional connectivity,direct,0.8,"Our results show that OT mainly alters connectivity in the VA, on one side reducing the coupling to regions that typically form the nodes of DM, an introspective and self-referential network, and on the other side increasing the coupling to the edges of the CO, which is involved in salience processing.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,lower,"The sentence partially supports the claim, but the direction and directness need to be revised to match the extracted claim.",,Llama 3.1 8B
565,36747838,Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth.,2023,bioRxiv : the preprint server for biology,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,impulsivity (general),youth,associated_with,higher,,direct,0.8,"Delay discounting was associated with greater functional connectivity between the dorsal prefrontal cortex and other parts of the default mode network, and reduced connectivity with regions in the dorsal and ventral attention networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and greater functional connectivity in the default mode network, which matches the extracted brain system.",,Llama 3.1 8B
566,34732691,The sooner the better: clinical and neural correlates of impulsive choice in Tourette disorder.,2021,Translational psychiatry,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),Tourette disorder,associated_with,unclear,reward sensitivity,indirect,0.8,"We identified a subgroup of 29 patients with steeper reward discounting, characterised by a higher burden of impulse-control disorders and a higher level of general impulsivity compared to patients with normal behavioural performance or to controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,yes,no,impulsivity (general),reward sensitivity,increased,"The sentence partially supports the claim of impulsivity (general) being associated with reward sensitivity, but the direction is unclear. The corrected feature type is reward sensitivity, and the corrected direction is increased.",,Llama 3.1 8B
567,28173729,Structural and Functional Abnormalities in Children with Attention-Deficit/Hyperactivity Disorder: A Focus on Subgenual Anterior Cingulate Cortex.,2017,Brain connectivity,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,ADHD,associated_with,higher,disrupted white matter integrity and altered functional connectivity,direct,0.8,Both the rs-fMRI and DTI ROI-based measures were significantly correlated with clinical measures that examine behavioral capacities of attention and inhibitory control.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,higher,"The sentence partially supports the claim by mentioning a correlation between rs-fMRI/DTI measures and clinical measures of attention and inhibitory control, but it does not directly state the relationship between attentional impulsivity and functional connectivity. The direction of the relationship is also not explicitly stated.",,Llama 3.1 8B
568,29409566,Brain-behavior patterns define a dimensional biotype in medication-naïve adults with attention-deficit hyperactivity disorder.,2018,Psychological medicine,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,impulsivity (general),adult ADHD,correlates_with,higher,,direct,0.8,"Adults with ADHD showed stronger functional connectivity compared to healthy controls, predominantly between the default-mode, cingulo-opercular and subcortical networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence does not directly support the direction of the claim, and it does not name the phenotype. The corrected fields are based on the extracted claim.",,Llama 3.1 8B
569,36866118,"Structural differences among children, adolescents, and adults with attention-deficit/hyperactivity disorder and abnormal Granger causality of the right pallidum and whole-brain.",2023,Frontiers in human neuroscience,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),ADHD,correlates_with,unclear,,background,0.8,The right pallidum was positively correlated with disease severity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),unknown,positive,"The sentence supports the phenotype (impulsivity) but not the feature type. The relationship is supported as correlation, and the direction is supported as positive. However, the directness is not supported because the sentence does not name both phenotype and feature. The corrected phenotype and direction are provided.",,Llama 3.1 8B
570,31978743,Neural correlates and role of medication in reactive motor impulsivity in Tourette disorder.,2020,Cortex; a journal devoted to the study of the nervous system and behavior,attentional impulsivity resting-state fMRI,unknown,functional connectivity,motor impulsivity,Tourette disorder,associated_with,higher,increased grey matter signal from the right supplementary motor area and inferior frontal gyrus; decreased resting-state spontaneous activity of the left putamen; higher functional connectivity between the inferior frontal gyrus and the superior temporal gyri (bilaterally); lower functional connectivity between the cerebellum and the right subthalamic nucleus,direct,0.9,We found a higher reactive motor impulsivity in TD patients medicated with antipsychotics compared to unmedicated TD patients and controls.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,no,yes,yes,yes,no,motor impulsivity,behavioral,higher,"The sentence directly supports the association between motor impulsivity and higher reactive motor impulsivity in TD patients, but it does not directly support the feature type (functional connectivity) or the brain system involved.",,Llama 3.1 8B
