record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label,consensus_models,consensus_model_count
176,27371803,Risk-taking behavior and impulsivity among HCV-infected patients.,2016,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),HCV-infected patients,associated_with,higher,,direct,0.8,"The viral group patients had higher impulsivity than the nonviral group in all domains: attentional impulsivity, motor impulsivity, and nonplanning.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
177,22766012,"Neuropsychological performance, impulsivity, ADHD symptoms, and novelty seeking in compulsive buying disorder.",2012,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,unclear,0.5,"They also had elevated levels of self-reported depression, ADHD symptoms, trait impulsivity, and novelty seeking.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),trait,increased,"The sentence partially supports the claim by mentioning impulsivity, but the direction is unclear and directness is unclear. The corrected fields are phenotype, feature type, and direction.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
179,26648853,Impulsivity is Associated with Increased Metabolism in the Fronto-Insular Network in Parkinson's Disease.,2015,Frontiers in behavioral neuroscience,Barratt Impulsiveness Scale neuroimaging,fronto-insular network,BOLD variability,impulsivity (general),Parkinson's disease,associated_with,higher,increased metabolism,direct,0.9,"Voxel-wise group comparison revealed higher FDG-metabolism in the orbitofrontal cortex (OFC), anterior cingulate cortex (ACC), and right insula in patients with higher impulsivity scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence directly supports the association between impulsivity and increased metabolism in the fronto-insular network, which matches the extracted claim.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
182,22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),"obsessive-compulsive disorder, eating disorder",associated_with,higher,,indirect,0.8,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,higher,The sentence clearly supports the extracted claim by stating that both clinical groups reported higher levels of impulsivity compared to controls.,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
183,24612970,"Anxiety, depression, impulsivity and substance misuse in violent and non-violent adolescent boys in detention in China.",2014,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),juvenile detention facilities,associated_with,higher,,direct,0.8,"Violent offenders had significantly higher BIS-11 total scores, and attention and nonplanning subscale scores (p<0.05).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,higher,"The sentence directly supports the association between impulsivity and higher BIS-11 total scores, and attention and nonplanning subscale scores in violent offenders.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
186,29120849,Genetic analysis of impulsive personality traits: Examination of a priori candidates and genome-wide variation.,2018,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,unclear,0.5,Impulsive personality traits are heritable risk factors and putative endophenotypes for addiction and other psychiatric disorders involving disinhibition.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,unclear,The sentence clearly supports the phenotype (impulsivity) and relationship (heritable risk factors and putative endophenotypes) when stated. The direction (unclear) and directness (unclear) are also supported as they are stated as unclear in the extracted claim. The sentence does not overclaim as it mentions a group difference (heritable risk factors) and a phenotype-feature association (impulsivity and endophenotypes).,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
187,24373553,Anhedonia in Parkinson's disease patients with and without pathological gambling: a case-control study.,2014,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),Parkinson's disease,associated_with,higher,,indirect,0.8,"The PG-group, compared to the ICDs-group and PD-controls, reported a significantly higher incidence of anhedonia (45% vs. 9% vs. 14% respectively), higher Snaith-Hamilton Pleasure Scale (SHAPS) scores (2.0±1.3 vs. 1.0±1.1 vs. 1.0±1.2), higher levels of impulsivity traits as measured by the Barratt Impulsiveness Scale (70.0±10.6 vs. 64.8±11 vs. 60.9±9.3) and more severe frontal dysfunctions (Frontal Assessment Battery, FAB: 12.4±4.9 vs. 15.5±1.6 vs. 14.4±3).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,higher,"The sentence clearly supports the extracted claim, mentioning higher levels of impulsivity traits in the PG-group compared to the ICDs-group and PD-controls.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
189,31669801,Increased neural activity in the right dorsolateral prefrontal cortex during a risky decision-making task is associated with cocaine use in methadone-maintained patients.,2019,Drug and alcohol dependence,Barratt Impulsiveness Scale neuroimaging,unknown,functional connectivity,impulsivity (general),cocaine use,associated_with,higher,,indirect,0.9,"MMPs who used cocaine versus those who did not reported increased trait impulsivity on the BIS-11 Total Score (t=-2.28, p = 0.031).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),self-reported trait,higher,"The sentence clearly supports the extracted claim, mentioning a phenotype (impulsivity), a feature type (self-reported trait), a relationship (associated with), a direction (higher), and a directness (indirect).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
192,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),borderline personality disorder,associated_with,unclear,,background,0.8,"Behavioral impulsivity in borderline personality disorder (BPD) is associated with indices of diminished central serotonergic function, independent of suicidal behavior, depression or alcohol use disorder.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),central serotonergic function,decreased,"The sentence clearly supports the association between impulsivity and decreased central serotonergic function in borderline personality disorder, without any mixed direction or overclaiming.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
199,40945612,Diffusion tensor imaging-based evaluation of white-matter tract alterations in schizophrenic patients with personality-related comorbidities.,2026,Behavioural brain research,BIS-11 fMRI impulsivity,unknown,structural connectivity,impulsivity (general),schizophrenia,correlates_with,higher,,indirect,0.7,"These abnormalities were significantly correlated with heightened impulsivity, impaired self-regulation, and increased psychosis proneness.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral,higher,"The sentence clearly supports the extracted claim, mentioning a correlation between abnormalities and heightened impulsivity, which is a specific instance of the general phenotype 'impulsivity (general)'. The feature type is not explicitly mentioned as 'structural connectivity', but it can be inferred that the abnormalities in white-matter tract alterations are related to the brain's structural connectivity. The relationship is 'correlates_with', and the direction is 'higher', which matches the extracted claim. The directness is 'indirect', as the sentence does not directly state the relationship between the abnormalities and impulsivity, but rather mentions a correlation. There is no overclaiming, as the sentence only mentions a group difference and a phenotype-feature association.",,Qwen 2.5 7B,Llama 3.1 8B;Qwen 2.5 7B,2
210,31599080,Prefrontal GABA and glutamate levels correlate with impulsivity and cognitive function of prescription opioid addicts: A 1 H-magnetic resonance spectroscopy study.,2020,Psychiatry and clinical neurosciences,BIS-11 fMRI impulsivity,unknown,unknown,impulsivity (general),prescription opioid addiction,correlates_with,unclear,,indirect,0.8,GABA+ levels correlated negatively with BIS-11 scores but correlated positively with MoCA scores.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),cognitive function,negative,"The sentence clearly supports the extracted claim, mentioning a correlation between GABA+ levels and impulsivity (general) as measured by BIS-11 scores, and a correlation between GABA+ levels and cognitive function as measured by MoCA scores.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
212,27329520,Larger corpus callosum and reduced orbitofrontal cortex homotopic connectivity in codeine cough syrup-dependent male adolescents and young adults.,2017,European radiology,BIS-11 fMRI impulsivity,unknown,functional connectivity,impulsivity (general),substance addiction,associated_with,unclear,,indirect,0.8,"Moreover, impairment of VMHC was associated with the impulsive behaviour and correlated with the duration of CCS abuse in CCS-dependent male adolescents and young adults.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,associated_with,"The sentence clearly supports the extracted claim, mentioning a specific association between VMHC impairment and impulsive behavior, which is a type of impulsivity. The duration of CCS abuse is also mentioned, which is related to the diagnostic context of substance addiction.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
214,26578922,Decreased modulation by the risk level on the brain activation during decision making in adolescents with internet gaming disorder.,2015,Frontiers in behavioral neuroscience,BIS-11 fMRI impulsivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,correlates_with,lower,,direct,0.8,"In the IGD group, there was a significant negative correlation between the risk-related DLPFC activation during the active BART and the Barratt impulsivity scale (BIS-11) scores, which were significantly higher in IGD group compared with the HCs.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim by stating a correlation between brain activation and impulsivity scores in the IGD group, which is consistent with the claim's relationship and direction. The sentence also directly mentions the phenotype (impulsivity) and feature (functional connectivity), and the direction is clearly stated as lower. The diagnostic context is also correctly identified as internet gaming disorder.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
215,15637640,Reduced anterior corpus callosum white matter integrity is related to increased impulsivity and reduced discriminability in cocaine-dependent subjects: diffusion tensor imaging.,2005,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,BIS-11 fMRI impulsivity,unknown,structural connectivity,impulsivity (general),cocaine-dependent subjects,associated_with,higher,white matter integrity in the corpus callosum,direct,0.9,"Within cocaine dependent subjects there was a significant negative correlation between FA in the anterior corpus callosum and behavioral laboratory measured impulsivity, and there was a positive correlation between FA and discriminability.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and reduced FA in the anterior corpus callosum, which is related to higher impulsivity.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
216,35754100,Electrophysiological resting-state hyperconnectivity and poorer behavioural regulation as predisposing profiles of adolescent binge drinking.,2022,Addiction biology,BIS-11 resting-state connectivity,unknown,functional connectivity,impulsivity (general),adolescent binge drinking,associated_with,higher,neurobiological development of inhibitory neurotransmission pathways and executive prefrontal circuits,indirect,0.8,"Furthermore, they showed higher impulsivity, dysexecutive behaviours and sensation seeking, positively correlated with functional connectivity (FC).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
218,24286968,Reduced ventral medial prefrontal cortex (vmPFC) volume and impaired vmPFC-default mode network integration in codeine-containing cough syrups users.,2014,Drug and alcohol dependence,BIS-11 resting-state connectivity,unknown,structural connectivity,impulsivity (general),codeine-containing cough syrups users,associated_with,higher,volume loss and aberrant functional organization,direct,0.9,Significantly decreased GM volume was observed in CCS users in bilateral ventral medial prefrontal cortex (vmPFC) which was related to greater impulsivity in CCS users.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between reduced vmPFC volume and increased impulsivity in CCS users.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
219,41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),opioid use disorder,associated_with,unclear,,unclear,0.5,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,decreased/increased,"The sentence clearly supports the phenotype (impulsivity), feature type (functional connectivity), relationship (associated with), direction (decreased/increased), and directness (direct) when stated. The brain system is not explicitly mentioned, but it is implied to be the default mode network (DMN) and salience network (SN) involved in cognitive functions such as decision-making and impulse control.",,Mistral 7B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
220,41106487,Resting-state functional connectivity alterations in intermet gaming disorder: A fMRI study combining voxel-based morphometry meta-analysis.,2025,Brain research bulletin,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,associated_with,unclear,"dysregulation of cognitive control, reward, and motor networks",indirect,0.8,"Rs-FC analysis showed enhanced connectivity between the middle cingulate cortex and prefrontal, cingulate and Supplementary motor area in IGD, with functional connectivity values correlating with duration of illness; However, after correction, this correlation was not significant.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,increased,"The sentence partially supports the claim, but the direction is unclear and the directness is indirect. The corrected direction is 'increased' because the sentence mentions 'enhanced connectivity'.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
222,31868249,Characterizing impulsivity and resting-state functional connectivity in normal-weight binge eaters.,2020,The International journal of eating disorders,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),binge eating,associated_with,higher,,direct,0.8,The BE group was characterized by a higher degree of trait impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,no,no,yes,no,no,impulsivity (general),trait,higher,"The sentence supports the phenotype but not the feature type, relationship, or directness. The feature type should be corrected to 'trait'.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
225,23486959,Resting-state functional connectivity predicts impulsivity in economic decision-making.,2013,The Journal of neuroscience : the official journal of the Society for Neuroscience,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,predicts,higher,,direct,0.9,"Moreover, we found that the resting-state functional connectivity of the brain regions in these networks was significantly correlated with participants' discounting rate, a behavioral index of impulsivity during the DDT.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim, but the direction and directness need to be revised. The sentence does not explicitly state the direction of the relationship, and it does not name both phenotype and feature.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
226,40800818,Functional cerebello-cortico-limbic connectivity in aggression: A resting-state 7T fMRI study in healthy volunteers.,2025,"Imaging neuroscience (Cambridge, Mass.)",impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),healthy volunteers,associated_with,unclear,functional connectivity,indirect,0.8,"Functional connectivity of the posterior vermis and FN with the hypothalamus, CMA, and left sgACC was significantly correlated with impulsivity and aggressive behaviour.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,positive,"The sentence partially supports the claim, but the direction is unclear and the directness is indirect. The corrected phenotype, feature type, and direction are provided.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
227,28402539,Associating resting-state connectivity with trait impulsivity.,2017,Social cognitive and affective neuroscience,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,unclear,,indirect,0.5,"Results demonstrate a novel correlation between BAS-fun seeking and resting-state connectivity between middle OFC and putamen, implying that spontaneous synchrony between reward-processing regions may play a role in defining personality characteristics related to impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the claim by stating a correlation between BAS-fun seeking and resting-state connectivity, implying a positive relationship between impulsivity and functional connectivity.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
228,37270396,Sleep mediates the effect of stressful environments on youth development of impulsivity: The moderating role of within default mode network resting-state functional connectivity.,2023,Sleep health,impulsivity resting-state fMRI functional connectivity,default mode network,functional connectivity,impulsivity (general),unknown,correlates_with,unclear,,indirect,0.8,Youth with elevated within-DMN resting-state functional connectivity showed intensified associations between stressful environments and impulsivity via shorter sleep duration.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the claim by stating a positive association between within-DMN resting-state functional connectivity and impulsivity, mediated by sleep duration in stressful environments. The phenotype, feature type, relationship, and direction are all clearly stated and supported by the sentence.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
233,34289458,Resting state dynamic functional connectivity in children with attention deficit/hyperactivity disorder.,2021,Journal of neural engineering,impulsivity resting-state fMRI functional connectivity,unknown,dynamic connectivity,impulsivity (general),attention deficit/hyperactivity disorder,associated_with,unclear,,indirect,0.8,Our results show distributed abnormalities in sFC and dFC between different large-scale RSNs including cortical and subcortical regions in both ADHD subtypes compared to TD.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),dynamic connectivity,unclear,"The sentence partially supports the claim by mentioning abnormalities in dynamic functional connectivity, but it does not directly state the association between impulsivity and dynamic connectivity. The direction of the association is also unclear. The corrected phenotype and feature type are based on the extracted claim.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
234,37526227,Gender-specific resting-state rDMPFC-centric functional connectivity underpinnings of intertemporal choice.,2023,"Cerebral cortex (New York, N.Y. : 1991)",impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,unclear,,indirect,0.8,"In women, log k was found to be positively correlated with the rsFC between rDMPFC and anterior cingulate cortex/right orbitofrontal cortex. In contrast, in men, log k was negatively correlated with rsFC between rDMPFC and left orbitofrontal cortex/right precuneus.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the claim by stating a correlation between impulsivity and functional connectivity in women and men, with a clear direction of the correlation.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
239,30683074,Hyperactivity/restlessness is associated with increased functional connectivity in adults with ADHD: a dimensional analysis of resting state fMRI.,2019,BMC psychiatry,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),ADHD,associated_with,higher,,direct,0.8,"More severe hyperactivity was associated with increased functional connectivity in the left putamen, right caudate nucleus, right central operculum and a portion of the right postcentral gyrus within the auditory/sensorimotor network.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,hyperactivity,functional connectivity,higher,,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
240,33615095,Static and dynamic aspects of cerebro-cerebellar functional connectivity are associated with self-reported measures of impulsivity: A resting-state fMRI study.,2020,"Network neuroscience (Cambridge, Mass.)",impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,"We observed evidence linking BIS, BAS, sensation seeking, and lack of premeditation to the total strength and temporal variability of FC within networks connecting regions of the prefrontal cortex, precuneus, posterior cingulate cortex, basal ganglia, and thalamus with the cerebellum.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,"The sentence clearly supports the extracted claim by mentioning the association between impulsivity and functional connectivity within specific brain networks. The direction of the association is unclear, but the sentence does not overclaim by mentioning a group difference. The directness of the association is also supported as the sentence names both phenotype and feature.",,Qwen 2.5 7B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
250,33625381,Differences in resting-state functional connectivity according to the level of impulsiveness in patients with internet gaming disorder.,2021,Journal of behavioral addictions,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,unclear,reward-related social cognition processes,indirect,0.8,"Connectivity of the vmPFC with the left temporo-parietal junction (TPJ) and NAcc-left insula connectivity were significantly decreased in the patients with high impulsivity, compared with the patients with low impulsivity and healthy controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,decreased,The sentence clearly supports the claim by stating a specific association between impulsivity and functional connectivity in a particular brain region.,,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
252,31640464,Resting-State fMRI Study of ADHD and Internet Gaming Disorder.,2021,Journal of attention disorders,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),ADHD and Internet gaming disorder,correlates_with,lower,,direct,0.8,The functional connectivity (FC) from the cortex to subcortex in both groups was decreased relative to that in age-matched healthy participants.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,lower,"The sentence does not directly support the direction of the claim, as it states 'decreased relative to that in age-matched healthy participants', which could imply a comparison to a control group rather than a direct correlation. Additionally, the directness of the claim is not fully supported as the sentence does not explicitly mention both phenotype and feature.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
253,31611841,Altered Resting-State Functional Connectivity in Wernicke's Encephalopathy With Vestibular Impairment.,2019,Frontiers in neurology,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,unknown,Wernicke's encephalopathy,associated_with,unclear,,indirect,0.8,"Functional connections at the predefined seed regions, including the insular cortex and parietal operculum, were attenuated in the WE group compared to healthy controls.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,Wernicke's encephalopathy,functional connectivity,decreased,"The sentence clearly supports the claim by stating a specific phenotype (Wernicke's encephalopathy), a feature type (functional connectivity), a relationship (associated with), a direction (decreased), and directness (indirect).",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
254,25899520,Altered resting-state functional connectivity of the insula in young adults with Internet gaming disorder.,2016,Addiction biology,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,associated_with,higher,unknown,direct,0.8,"IGDs also demonstrated significantly stronger rsFC between the posterior insula and postcentral gyrus, precentral gyrus, supplemental motor area, and superior temporal gyrus (STG), which are involved in interoception, movement control, and auditory processing.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsivity (general),functional connectivity,higher,"The sentence supports the phenotype, feature, and relationship, but it does not directly support the directness of the claim. The claim specifies 'impulsivity (general)' as the phenotype, but the sentence does not explicitly mention impulsivity. However, impulsivity is a common feature associated with the brain regions mentioned in the sentence, which are involved in interoception, movement control, and auditory processing. Therefore, the corrected phenotype is acceptable, but the directness_supported field should be set to false.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
257,38521138,Large-scale network abnormality in behavioral addiction.,2024,Journal of affective disorders,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),behavioral addiction,associated_with,unclear,unknown,indirect,0.8,"The present study indicate that individuals with BAs exhibit (1) hypo-connectivity within the fronto-parietal network (FN) and hypo- and hyper-connectivity within the ventral attention network (VAN); (2) hypo-connectivity between the FN and regions of the VAN, hypo-connectivity between the VAN and regions of the FN and default mode network (DMN), hyper-connectivity between the DMN and regions of the FN; (3) hypo-connectivity between the reward system and regions of the sensorimotor network (SS), DMN and VAN; (4) hypo-connectivity between the FN and regions of the SS, hyper-connectivity between the VAN and regions of the SS.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,unclear,"The sentence partially supports the claim but needs revision or is indirect. The phenotype 'impulsivity (general)' is mentioned in the paper title, but the sentence does not directly link it to the functional connectivity feature. The direction is unclear, and the directness is indirect.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
259,41257054,Ventral Attention Network Resting State Functional Connectivity: Psychosocial Correlates among US Adolescents.,2025,Journal of biomedical and life sciences,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,unclear,unknown,background,0.5,"Greater VAN connectivity was negatively associated with impulsive reward-driven trait (drive), prodromal symptoms, BMI, and marijuana and alcohol use.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,negatively associated,"The sentence clearly supports the extracted claim, mentioning a specific phenotype (impulsivity), feature type (functional connectivity), relationship (correlates with), and direction (negatively associated).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
267,34272398,Abnormal interhemispheric resting state functional connectivity in Parkinson's disease patients with impulse control disorders.,2021,NPJ Parkinson's disease,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,lower,asymmetry of functional connectivity in mesolimbic reward and response inhibition network,direct,0.8,The severity of impulsivity was negatively correlated with the mean VMHC values of MFG in PD-ICD group.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and functional connectivity in a specific brain region.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
273,21406160,Aberrant connectivity of resting-state networks in borderline personality disorder.,2011,Journal of psychiatry & neuroscience : JPN,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),borderline personality disorder,correlates_with,higher,functional connectivity,direct,0.8,We found correlations between functional connectivity of the FPC and measures of impulsivity as well as between connectivity of the insula/cuneus and dissociation tension.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence partially supports the claim, but the direction and directness are not explicitly stated for the phenotype 'impulsivity (general)' and feature 'functional connectivity'.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
