set,row_id,extractor,supporting_sentence,canonical_claim_text,trackb_original_decision,trackb_support_score,human_eval1,human_eval2,minicheck-bespoke-7b_score,minicheck-bespoke-7b_native_pred,minicheck-flan-t5_score,minicheck-flan-t5_native_pred,alignscore-large-official_score,alignscore-large-official_native_pred,deberta-nli_score,deberta-nli_native_pred
s120,HV093,Qwen 2.5 7B,"associations were also widespread between the cingulo-opercular network and both cognitive and affective behaviors, while the frontoparietal network was associated primarily with cognitive functions.",impulsivity (general) is associated with the neural feature.,drop,0,revise,drop,0.053396,0,0.030246,0,0.056495,,0.001527,revise
s120,HV094,Mistral 7B,"The SU group had abnormal spontaneous neural activity during the resting state, and decreased activity in L-SFG and L-MFG was associated with increased impulsivity in SU group.","In depressed youths, impulsivity (general) is associated with functional connectivity.",keep,2,keep,keep,0.075842,0,0.123610,0,0.016432,,0.000585,revise
s120,HV095,Qwen 2.5 7B,"Compared to abstainers, relapsers showed higher inattention and non-planning impulsivity on the 11th version of the Barratt Impulsive Scale.","In alcohol dependence, nonplanning impulsivity is predictive of the neural feature.",keep,2,revise,revise,0.029310,0,0.064508,0,0.002401,,0.004162,revise
s120,HV096,Mistral 7B,"The action potential of motor nerve fibers has the characteristics of a time curve manifold, and this time-manifold curve of motor nerve fibers comes from the visual cortex in which spatial geometric manifolds are formed within the synaptic connection of neurons.",the phenotype is associated with the neural feature.,drop,0,drop,drop,0.245018,0,0.041040,0,0.054115,,0.071106,revise
s120,HV097,Llama 3.1 8B,"The impulsivity score was correlated with self-esteem, marital status, professional status and anxiety.","In treatment-resistant depression, impulsivity (general) is correlated with the neural feature.",revise,1,revise,revise,0.005220,0,0.020503,0,0.006545,,0.003082,revise
s120,HV098,Qwen 2.5 7B,"Surprisingly, no relation was found between the Go/No-Go task and the BIS-11 scale.",impulsivity (general) is predictive of the neural feature.,drop,0,revise,drop,0.010986,0,0.025046,0,0.012151,,0.000596,drop
s120,HV099,Llama 3.1 8B,Research demonstrates a specific abnormality in the thalamic pulvinar nucleus in ADHD populations.,"In ADHD, attentional impulsivity is associated with functional connectivity.",drop,0,revise,drop,0.047421,0,0.066630,0,0.011222,,0.007217,revise
s120,HV100,Mistral 7B,Impulsivity in Parkinson's disease may be mediated by faulty evaluation of rewards or the failure to inhibit inappropriate choices.,"In Parkinson's disease, impulsivity (general) is underlies functional connectivity.",drop,0,revise,drop,0.017985,0,0.021127,0,0.007108,,0.004810,revise
s120,HV101,Mistral 7B,IGD adolescents showed higher brain activity within the left orbitofrontal cortex.,"In Internet Gaming Disorder, attentional impulsivity is associated with higher functional connectivity.",drop,0,revise,drop,0.025955,0,0.141966,0,0.025684,,0.286865,revise
s120,HV102,Llama 3.1 8B,"These changes in addiction, which the authors call I-RISA (impaired response inhibition and salience attribution), expand the traditional concepts of drug dependence that emphasize limbic-regulated responses to pleasure and reward.",impulsivity (general) is associated with the neural feature.,drop,0,drop,drop,0.268832,0,0.044659,0,0.085916,,0.013878,revise
s120,HV103,Mistral 7B,Resting-state functional connectivity (rsFC) has been proposed as a promising biomarker of decision-making.,"In obsessive-compulsive disorder, substance abuse disorder, attention-deficit/hyperactivity disorder, impulsivity (general) is associated with functional connectivity.",drop,0,revise,drop,0.075846,0,0.078390,0,0.001190,,0.000653,revise
s120,HV104,Qwen 2.5 7B,,the phenotype is associated with the neural feature.,drop,0,drop,drop,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s120,HV105,Mistral 7B,"Behavioral changes in PD show distinct patterns of brain atrophy, dopaminergic and serotonergic deterioration, altered neuronal connectivity in frontostriatal, corticolimbic, default mode and other networks","In Parkinson disease, impulsivity (general) is associated with functional connectivity.",revise,1,revise,revise,0.148010,0,0.035564,0,0.016752,,0.001084,revise
s120,HV106,Qwen 2.5 7B,,the phenotype is associated with the neural feature.,drop,0,drop,drop,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s120,HV107,Llama 3.1 8B,Impulsivity increases the risk for depression and anxiety.,"In depression and anxiety, impulsivity (general) is associated with the neural feature.",keep,2,revise,revise,0.095333,0,0.033559,0,0.005276,,0.009216,revise
s120,HV108,Llama 3.1 8B,"Furthermore, this aberrant connectivity of the frontoparietal control network in ADHD was associated with symptoms of impulsivity and opposition-defiance, as well as impaired response inhibition and attentional control.","In attention-deficit/hyperactivity disorder, attentional impulsivity is associated with lower functional connectivity in the frontoparietal/control network.",keep,2,keep,keep,0.201750,0,0.642797,1,0.773468,,0.435547,revise
s120,HV109,Qwen 2.5 7B,"Higher impulsiveness and risk-taking behaviours were observed in IGD individuals, with increased reward network and ECN FC during related tasks.","In Internet gaming disorder (IGD), impulsivity (general) is correlated with higher functional connectivity.",revise,1,revise,revise,0.437588,0,0.646334,1,0.024234,,0.980957,keep
s120,HV110,Qwen 2.5 7B,"In an exploratory analysis, we demonstrated that higher self-rated impulsivity goes together with a significant increase in VTA-mid-cingulate gyrus FC during l -DOPA-challenge.",impulsivity (general) is correlated with higher functional connectivity.,keep,2,keep,keep,0.592387,1,0.077139,0,0.025929,,0.960938,keep
s120,HV111,Llama 3.1 8B,"Brain areas that showed modulation of their activity are the rTPJ and rACC, which are involved in mentalization processes that are fundamental to BPD pathology.","In Borderline Personality Disorder, impulsivity (general) is associated with the neural feature.",drop,0,drop,drop,0.119178,0,0.039657,0,0.007929,,0.026047,revise
s120,HV112,Mistral 7B,ADHD-C were characterized from ADHD-I by reduced network connectivity differences within the DMN.,"In Attention Deficit Hyperactivity Disorder (ADHD), impulsivity (general) is differentiates functional connectivity.",revise,1,revise,revise,0.075846,0,0.067787,0,0.007333,,0.004982,revise
s120,HV113,Llama 3.1 8B,The main findings reveal changes such as significant increases or decreases in functional connectivity in certain regions of the brain.,"In Internet Gaming Disorder (IGD), the phenotype is associated with functional connectivity.",revise,1,revise,drop,0.029310,0,0.176797,0,0.062854,,0.009148,revise
s120,HV114,Llama 3.1 8B,The hypothesis of altered brain clearance in narcolepsy type 1 is not supported by evidence from the current study.,"In narcolepsy type 1, the phenotype is associated with the neural feature.",drop,0,drop,drop,0.164476,0,0.223582,0,0.138073,,0.100281,revise
s120,HV115,Mistral 7B,"MJ smokers also had significantly higher BIS total and motor subscale scores relative to NS, which were positively correlated with left frontal FA values.",impulsivity (general) is associated with structural connectivity.,keep,2,keep,keep,0.499742,0,0.046314,0,0.047346,,0.085571,revise
s120,HV116,Mistral 7B,This study combined degree centrality (DC) with functional connectivity (FC) analysis based on resting-state functional magnetic resonance imaging (rs-fMRI) to investigate the connectivity patterns of whole-brain functional networks at the voxel level in patients with IGD.,"In internet gaming disorder, impulsivity (general) is associated with functional connectivity.",drop,0,drop,drop,0.095328,0,0.026580,0,0.002989,,0.000515,revise
s120,HV117,Mistral 7B,"In simple regressions, activation of the right anterior dorsal insula and middle frontal cortex (MFC) during stop as compared to go trials negatively correlated with motor and non-planning impulsivity score.",nonplanning impulsivity is associated with lower functional connectivity.,keep,2,keep,revise,0.201753,0,0.041982,0,0.004145,,0.008934,revise
s120,HV118,Qwen 2.5 7B,"Furthermore, significant sex-related main effects were observed in widespread brain areas, involving key nodal metrics such as degree centrality, local efficiency, clustering coefficient, and nodal efficiency. Female patients with MUD demonstrated higher global network measures and showed more extensive nodal metric differences compared to males.","In methamphetamine use disorder, impulsivity (general) is correlated with functional connectivity.",revise,1,revise,drop,0.009708,0,0.031951,0,0.003584,,0.001001,revise
s120,HV119,Qwen 2.5 7B,"Furthermore, RSFC results indicated individuals with higher levels of FTP exhibited greater functional connectivity between the IPL and both the dorsomedial prefrontal cortex (dmPFC) and the ventromedial prefrontal cortex (vmPFC).","In ADHD, impulsivity (general) is mediates lower functional connectivity.",drop,0,revise,drop,0.004609,0,0.013576,0,0.004205,,0.000536,revise
s120,HV120,Qwen 2.5 7B,"Patients with JME showed higher scores than patients with TLE and controls in all domains: motor (JME vs TLE: 28.60 vs 13.25 (mean score), p<0.001 and JME vs controls: 28.60 vs 14.12, p<0.001), attentional (JME vs TLE: 21.55 vs 13.45, p<0.001 and JME vs controls: 21.55 vs 14.88, p<0.001) and nonplanning (JME vs TLE: 28.05 vs 13.10, p<0.001 and JME vs controls: 28.05 vs 16.15, p<0.001).","In juvenile myoclonic epilepsy, temporal lobe epilepsy, impulsivity (general) is associated with the neural feature.",keep,2,revise,revise,0.047419,0,0.021315,0,0.030469,,0.000849,revise
s300,gptv_0001,Mistral 7B,MDMA users also had a significantly higher BIS nonplanning score and greater preference for disadvantageous choices on the IGT.,nonplanning impulsivity is associated with structural connectivity.,revise,1,,,0.009708,0,0.021662,0,0.025482,,0.000858,revise
s300,gptv_0002,Qwen 2.5 7B,"Bodily movement has long been employed as a foundation for cultivating mental skills such as attention, self-control or mindfulness, with recent studies documenting the positive impacts of mindful movement training, such as yoga and tai chi.",motor impulsivity is associated with functional connectivity.,drop,0,,,0.009708,0,0.025149,0,0.056345,,0.002802,revise
s300,gptv_0003,Llama 3.1 8B,,the phenotype is associated with the neural feature.,drop,0,,,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s300,gptv_0004,Qwen 2.5 7B,This effect was mediated by connectivity between the right orbito-frontal cortex with caudate nucleus bilaterally.,"In Tourette disorder, nonplanning impulsivity is correlated with higher functional connectivity.",drop,0,,,0.017985,0,0.103608,0,0.001509,,0.000419,revise
s300,gptv_0005,Qwen 2.5 7B,"These abnormal connections correlated significantly with other drug use history and cognitive dysfunctions, e.g., non-planning impulsivity.","In cocaine use disorder, nonplanning impulsivity is correlated with higher functional connectivity.",revise,1,,,0.095330,0,0.049796,0,0.055618,,0.000550,revise
s300,gptv_0006,Llama 3.1 8B,"IGD participants showed decreased VMHC between the left and right superior frontal gyrus (orbital part), inferior frontal gyrus (orbital part), middle frontal gyrus and superior frontal gyrus.","In internet gaming disorder, impulsivity (general) is associated with lower functional connectivity.",keep,2,,,0.201757,0,0.128155,0,0.002437,,0.001897,revise
s300,gptv_0007,Mistral 7B,"METH users had higher impulsivity scores, on both the Cognitive and Behavioral Factors from the BIS (p < 0.0001-0.0001).",impulsivity (general) is associated with the neural feature.,keep,2,,,0.067537,0,0.025329,0,0.017540,,0.009697,revise
s300,gptv_0008,Mistral 7B,"A growing number of studies are helping to determine the putative roles of dopamine and glutamatergic neurotransmission in the regulation of activity in resting state networks, particularly in brain reward circuitry affected in drug use disorders.",the phenotype is associated with functional connectivity.,drop,0,,,0.148017,0,0.105151,0,0.063303,,0.037689,revise
s300,gptv_0009,Llama 3.1 8B,"Patients with ADHD showed decreased variability of dynamic amplitude of low-frequency fluctuation (dALFF) in the left middle frontal gyrus and increased one in right middle occipital gyrus, as compared with the HCs.","In ADHD, impulsivity (general) is associated with the neural feature.",revise,1,,,0.182369,0,0.079272,0,0.013397,,0.000628,revise
s300,gptv_0010,Llama 3.1 8B,Atypical amygdala function and connectivity have reliably been associated with psychopathy.,"In psychopathy, impulsivity (general) is associated with functional connectivity.",revise,1,,,0.075844,0,0.052048,0,0.003955,,0.001468,revise
s300,gptv_0011,Mistral 7B,Results from this study show that the diagnosis and the two main symptom dimensions of ADHD are related to altered intrinsic connectivity in orbitofrontal-temporal-occipital and fronto-amygdala-occipital networks.,"In attention-deficit/hyperactivity disorder, impulsivity (general) is associated with functional connectivity.",revise,1,,,0.320685,0,0.077589,0,0.032884,,0.008156,revise
s300,gptv_0012,Qwen 2.5 7B,"The AUC values of DC, FC and the combined analysis for distinguishing IGD patients from HCs were 0.738, 0.850 and 0.864, respectively.","In internet gaming disorder, impulsivity (general) is associated with functional connectivity.",drop,0,,,0.017985,0,0.046655,0,0.008003,,0.004002,revise
s300,gptv_0013,Llama 3.1 8B,"The SU group had abnormal spontaneous neural activity during the resting state, and decreased activity in L-SFG and L-MFG was associated with increased impulsivity in SU group.","In depression, impulsivity (general) is associated with the neural feature.",revise,1,,,0.119169,0,0.101311,0,0.013325,,0.003691,revise
s300,gptv_0014,Mistral 7B,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",BIS total is associated with lower functional connectivity.,revise,1,,,0.147997,0,0.072463,0,0.003744,,0.298584,revise
s300,gptv_0015,Llama 3.1 8B,Two groups of subjects with IGD were identified and defined by distinct patterns of connectivity in brain networks previously implicated in addictions: subgroup 1 ('craving-related subgroup') and subgroup 2 ('mixed psychological subgroup').,"In internet gaming disorder, impulsivity (general) is associated with the neural feature.",drop,0,,,0.075846,0,0.039739,0,0.041562,,0.003267,revise
s300,gptv_0016,Qwen 2.5 7B,"subjects with IGD as compared to those with RGU showed increased nodal centralities in the reward, craving, emotional memory and sensory-motor processing regions.","In Internet gaming disorder, nonplanning impulsivity is associated with higher functional connectivity.",revise,1,,,0.067537,0,0.697701,1,0.024526,,0.434326,revise
s300,gptv_0017,Llama 3.1 8B,"We observed a significant negative correlation between left middle frontal gyrus (MFG) CT and the attention BIS score (FDR p<.05), motor, nonplanning and total BIS score (each p<0.001 uncorrected).",impulsivity (general) is correlated with lower structural connectivity.,keep,2,,,0.201741,0,0.023262,0,0.007010,,0.405273,revise
s300,gptv_0018,Mistral 7B,"Covarying for impulsivity, as determined by the Barratt Impulsiveness Scale, rendered all previously noted voxel-level group differences non-significant.","In borderline personality disorder, impulsivity (general) is associated with the neural feature.",drop,0,,,0.047420,0,0.031297,0,0.003362,,0.000437,revise
s300,gptv_0019,Llama 3.1 8B,"Considering the results, rs-fMRI stands out as an appropriate technique for studying language and attention within cognitive domains, and personality traits such as impulsivity and empathy.",impulsivity (general) is associated with the neural feature.,drop,0,,,0.294071,0,0.066174,0,0.129656,,0.024124,revise
s300,gptv_0020,Llama 3.1 8B,"The overall comparison between addiction cohorts and healthy subjects indicated significantly increased ReHo and ALFF in the right striatum (putamen) and bilateral supplementary motor area, as well as decreased ReHo and ALFF in the bilateral anterior cingulate cortex and ventral medial prefrontal cortex, in the addiction group.","In addictive disorders, impulsivity (general) is associated with higher BOLD variability.",revise,1,,,0.015905,0,0.028785,0,0.019255,,0.001291,revise
s300,gptv_0021,Llama 3.1 8B,"Differences in impulsivity, neuroticism, conscientiousness, facial perception accuracy, and rs-fMRI connectivity exist between moderate and severe groups.","In bipolar disorder, impulsivity (general) is associated with the neural feature.",drop,0,,,0.164471,0,0.046864,0,0.007288,,0.000865,revise
s300,gptv_0022,Qwen 2.5 7B,The finding of reduced functional connectivity between the interoception and the motor/executive control regions is interpreted to reflect reduced ability to inhibit motor responses to internet gaming or diminished executive control over craving for internet gaming in IGD.,"In internet gaming disorder, impulsivity (general) is associated with lower functional connectivity.",keep,2,,,0.499745,0,0.082680,0,0.072719,,0.041351,revise
s300,gptv_0023,Qwen 2.5 7B,"Moreover, ADHD children showed the redistribution of regional nodes and connectivity involving the default-mode, attention, and sensorimotor systems.","In ADHD, impulsivity (general) is correlated with the neural feature.",drop,0,,,0.164466,0,0.028565,0,0.010891,,0.002317,revise
s300,gptv_0024,Qwen 2.5 7B,"After the intervention, the BIS-11 score was decreased from 59.5 [55.6, 63.3] (mean [95% confidence interval]) to 55.2 [50.3, 60.1] (ΔBIS-11: -4.2, [-7.5, -0.9]).","In Parkinson's disease, impulsivity (general) is associated with lower functional connectivity in the default mode network, frontoparietal/control network.",drop,0,,,0.003593,0,0.019549,0,0.001998,,0.000293,revise
s300,gptv_0025,Llama 3.1 8B,These data demonstrate that abnormal functional connectome may be closely linked to clinical characteristics in CCSD.,"In chronic codeine-containing cough syrup dependent, impulsivity (general) is predictive of higher functional connectivity.",revise,1,,,0.015905,0,0.026748,0,0.000885,,0.001545,revise
s300,gptv_0026,Qwen 2.5 7B,We found that lower ePRS scores associate with higher measurements of impulsive choice in 6-year-old children tested in the Information Sampling Task and with impulsive action in 6- and 10-year-old children tested in the Stop Signal Task.,impulsivity (general) is predictive of the neural feature.,keep,2,,,0.106667,0,0.072191,0,0.003823,,0.640625,keep
s300,gptv_0027,Qwen 2.5 7B,,"In ADHD, attentional impulsivity is associated with functional connectivity.",revise,1,,,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s300,gptv_0028,Mistral 7B,We observed a positive association between BIS-11 and SRMI scores and neural metabolism only in the prefrontal areas.,"In Parkinson's disease, impulsivity (general) is associated with functional connectivity.",revise,1,,,0.004070,0,0.025505,0,0.007202,,0.003159,drop
s300,gptv_0029,Mistral 7B,"We found that stronger DC-seeded connectivity predicted superior N-back working memory performance, while stronger ventral striatum-seeded connectivity predicted reduced impulsivity in everyday life.",impulsivity (general) is predictive of functional connectivity.,keep,2,,,0.294093,0,0.018863,0,0.038264,,0.000640,drop
s300,gptv_0030,Llama 3.1 8B,"BIS scales can support measurement of a range of impulsivity scores in an adult Thai population, though predictive validity of these scales remains unexplored.",impulsivity (general) is associated with the neural feature.,drop,0,,,0.009708,0,0.020903,0,0.003138,,0.003740,revise
s300,gptv_0031,Qwen 2.5 7B,There was a significant positive correlation between lambda(1) in the rostral body of the corpus callosum and advantageous choices on the IGT.,"In MDMA users, nonplanning impulsivity is correlated with higher structural connectivity.",revise,1,,,0.008577,0,0.018947,0,0.001167,,0.000889,revise
s300,gptv_0032,Qwen 2.5 7B,,"In adolescent ADHD, attentional impulsivity is associated with BOLD variability.",keep,2,,,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s300,gptv_0033,Mistral 7B,The study revealed a significant interaction effect between sex and GPT on the static reward functional networks.,impulsivity (general) is associated with functional connectivity.,drop,0,,,0.075845,0,0.065142,0,0.416863,,0.000946,revise
s300,gptv_0034,Qwen 2.5 7B,"Functional connectivities of the medial orbitofrontal cortex, ventromedial prefrontal cortex (VMPFC), and the parahippocampal areas were significantly higher in the risk-taking group (p < 0.001, FDR corrected).","impulsivity (general) is associated with higher functional connectivity in the medial orbitofrontal cortex, ventromedial prefrontal cortex, parahippocampal areas, anterior cingulate cortex.",keep,2,,,0.004609,0,0.011255,0,0.086491,,0.002083,revise
s300,gptv_0035,Mistral 7B,Patients with BPD had reduced cortical thickness in left ACC and less surface area and gray matter volume in left AI.,"In borderline personality disorder, attentional impulsivity is associated with structural connectivity.",keep,2,,,0.025955,0,0.062267,0,0.056792,,0.777832,keep
s300,gptv_0036,Llama 3.1 8B,"In an exploratory analysis, we demonstrated that higher self-rated impulsivity goes together with a significant increase in VTA-mid-cingulate gyrus FC during l -DOPA-challenge.","In ADHD, impulsivity (general) is correlated with higher functional connectivity.",keep,2,,,0.119180,0,0.096309,0,0.013222,,0.001978,revise
s300,gptv_0037,Qwen 2.5 7B,greater asymmetry of AI&ACC correlated with a higher score in attention subscale of Barratt Impulsiveness Scale.,"In borderline personality disorder, nonplanning impulsivity is correlated with the neural feature.",keep,2,,,0.009708,0,0.061090,0,0.081085,,0.004219,revise
s300,gptv_0038,Qwen 2.5 7B,"Subjects with greater scores on impulsivity scales and who made more errors had greater activation of paralimbic areas during response inhibition, while less impulsive individuals and those with least errors activated higher order association areas.",impulsivity (general) is correlated with higher BOLD variability.,revise,1,,,0.085083,0,0.026121,0,0.019647,,0.001675,revise
s300,gptv_0039,Llama 3.1 8B,"patients showed that caudate-right parahippocampal gyrus connectivity and putamen-right orbitofrontal cortex connectivity increased during gaming and decreased during alternative, whereas NAcc-right precuneus connectivity decreased at baseline, increased in post-gaming, and were not different in post-alternative.","In internet gaming disorder, the phenotype is associated with functional connectivity.",keep,2,,,0.222628,0,0.866556,1,0.130760,,0.873047,keep
s300,gptv_0040,Llama 3.1 8B,"BED is connected to several comorbidities such as obesity, major depression, and substance use disorder, and was linked to heightened levels of impulsivity.",impulsivity (general) is associated with functional connectivity.,revise,1,,,0.085083,0,0.044672,0,0.021146,,0.000668,revise
s300,gptv_0041,Qwen 2.5 7B,"Compared to healthy control groups, individuals with IGD exhibited significant hypoconnectivity within the default mode network, and enhanced connectivity between the default mode network and insula within the ventral attention network.","In Internet gaming disorder, impulsivity (general) is associated with functional connectivity in the default mode network, ventral attention network, somatomotor regions, limbic network, frontoparietal network.",keep,2,,,0.005220,0,0.022030,0,0.057816,,0.001760,revise
s300,gptv_0042,Qwen 2.5 7B,,attentional impulsivity is associated with the neural feature.,revise,1,,,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s300,gptv_0043,Llama 3.1 8B,Patients with BD+S had higher overall impulsivity (assessed using both the UPPS-P Impulsive Behavior Scale and BIS-11) and premeditated aggression compared to patients with BD-S.,"In bipolar disorder, impulsivity (general) is associated with the neural feature.",keep,2,,,0.029309,0,0.026886,0,0.035543,,0.002810,revise
s300,gptv_0044,Llama 3.1 8B,"At the neural level, we observed that the decision impulsivity-associated functional networks included brain regions within default-mode, subcortical, somato-motor, dorsal attention, and visual systems, suggesting that decision impulsivity emerges from highly integrated connections involving multiple intrinsic networks.",impulsivity (general) is associated with functional connectivity in the default mode network.,revise,1,,,0.754651,1,0.145311,0,0.487106,,0.039978,revise
s300,gptv_0045,Qwen 2.5 7B,"However, young adults exhibiting smaller alcohol-induced decreases or increases in VTA-left caudate connectivity reported greater sensation seeking.",impulsivity (general) is linked to higher functional connectivity in the mesostriatal.,revise,1,,,0.067535,0,0.037132,0,0.009693,,0.002501,revise
s300,gptv_0046,Qwen 2.5 7B,BD patients revealed significant inverse correlations between the GMV in the right precentral gyrus and BIS scores; between the GMV in the left middle frontal gyrus and CTQ scores.,"In bipolar disorder, impulsivity (general) is correlated with lower structural connectivity.",keep,2,,,0.164462,0,0.048019,0,0.018818,,0.043274,revise
s300,gptv_0047,Qwen 2.5 7B,"Using a multiple regression model, CT in inferior and superior frontal, anterior cingulate and precentral regions significantly predicted BIS attentional subscores (p = 0.041).","In Parkinson's disease, nonplanning impulsivity is predictive of the neural feature.",keep,2,,,0.010986,0,0.023673,0,0.005772,,0.002657,revise
s300,gptv_0048,Llama 3.1 8B,BDSA exhibited reduced FC between the PFC and sensorimotor (postcentral and precentral gyri) and thalamic regions compared to BDNS.,"In bipolar disorder, impulsivity (general) is associated with higher functional connectivity.",drop,0,,,0.033082,0,0.037584,0,0.002569,,0.001264,revise
s300,gptv_0049,Llama 3.1 8B,Enhanced salience network (SN) activity represented by a significant rise in the right inferior frontal gyrus was found in PD+HS compared with PD-HS.,"In Parkinson's disease, impulsivity (general) is associated with higher functional connectivity.",revise,1,,,0.182369,0,0.051005,0,0.015705,,0.004906,drop
s300,gptv_0050,Qwen 2.5 7B,"using these three nodes as seeds for resting state functional connectivity, we showed a lower connectivity within the sensori-motor cortico-basal ganglia network, and an altered connectivity pattern among the orbito-frontal cortex, amygdala and hippocampus.","In Tourette disorder, nonplanning impulsivity is correlated with lower functional connectivity.",keep,2,,,0.008577,0,0.019156,0,0.001734,,0.000207,revise
s300,gptv_0051,Mistral 7B,"Conversely, neither impulsivity nor sensation-seeking was associated with functional connectivity.",impulsivity (general) is predictive of functional connectivity.,drop,0,,,0.017985,0,0.020150,0,0.000526,,0.000556,drop
s300,gptv_0052,Mistral 7B,"Our findings confirmed that impulsivity is associated with motor coordination and visuality, and that the dyslexic group has weaknesses in brain connectivity related to these conditions.","In dyslexia, impulsivity (general) is associated with functional connectivity.",revise,1,,,0.437578,0,0.118554,0,0.138894,,0.446289,revise
s300,gptv_0053,Mistral 7B,"We found that individuals with greater number of drinks or heavy drinking days in the recent past had greater alcohol-induced deficits in GPe connectivity, particularly to the striatum.",impulsivity (general) is associated with functional connectivity.,keep,2,,,0.164474,0,0.130817,0,0.083621,,0.000459,revise
s300,gptv_0054,Llama 3.1 8B,"At the regional level, we found an association between higher DD and greater fALFF in the dorsal anterior cingulate cortex (dACC), which is involved in conflict monitoring and strategy adaptation.",impulsivity (general) is associated with higher functional connectivity.,keep,2,,,0.132931,0,0.035734,0,0.037407,,0.005848,drop
s300,gptv_0055,Qwen 2.5 7B,There was also a negative correlation between FCC and symptoms of attention and impulsivity.,"In ADHD, attentional impulsivity is correlated with lower functional connectivity.",revise,1,,,0.320668,0,0.294540,0,0.001907,,0.001870,revise
s300,gptv_0056,Qwen 2.5 7B,"In patients, β1, β2, and δ activity was positively associated with disorder severity.","In prescription OUD, impulsivity (general) is associated with higher EEG connectivity.",revise,1,,,0.022975,0,0.018533,0,0.006509,,0.006779,revise
s300,gptv_0057,Llama 3.1 8B,Exploratory analysis revealed that impulsivity associated positively with the FA of these fibers in the CD group.,"In conduct disorder, impulsivity (general) is associated with higher structural connectivity.",keep,2,,,0.320657,0,0.097890,0,0.013216,,0.855957,keep
s300,gptv_0058,Qwen 2.5 7B,The differences were found exclusively with the 'disinhibition' subscale. No significant difference was found for impulsivity and physical anhedonia mean scores.,"In schizophrenia or schizoaffective disorder, nonplanning impulsivity is correlated with the neural feature.",drop,0,,,0.015905,0,0.089785,0,0.006862,,0.001029,revise
s300,gptv_0059,Mistral 7B,Decreased connectivity of the DMN sub-network with the cinguloopercular network following MPH administration was associated with elevated impulsivity and non-planning impulsiveness.,nonplanning impulsivity is associated with functional connectivity.,keep,2,,,0.705490,1,0.091605,0,0.072539,,0.899902,keep
s300,gptv_0060,Qwen 2.5 7B,,impulsivity (general) is associated with functional connectivity.,drop,0,,,0.000000,0,0.000000,0,0.000000,,0.000000,drop
s300,gptv_0061,Mistral 7B,"Parametric testing, as well as CPM-based permutations for null hypothesis testing, revealed strong linear associations between observed and predicted values of head motion.",the phenotype is predictive of functional connectivity.,drop,0,,,0.037323,0,0.031278,0,0.006213,,0.007084,revise
s300,gptv_0062,Llama 3.1 8B,Craving was predicted by neural connectivity across disorders.,"In addictions, the phenotype is predictive of functional connectivity.",keep,2,,,0.085084,0,0.306135,0,0.007146,,0.964355,keep
s300,gptv_0063,Llama 3.1 8B,"Our results show that OT mainly alters connectivity in the VA, on one side reducing the coupling to regions that typically form the nodes of DM, an introspective and self-referential network, and on the other side increasing the coupling to the edges of the CO, which is involved in salience processing.",attentional impulsivity is modulating lower functional connectivity in the default mode network.,revise,1,,,0.047420,0,0.029079,0,0.078650,,0.028244,revise
s300,gptv_0064,Mistral 7B,"In Study 1 (n=25) we also assessed self-reported impulsivity, and in Study 2 (n=14), we identified an inverse relationship between caudate response to milkshake vs. tasteless and failure to inhibit responses on the no-go trials.",impulsivity (general) is associated with higher functional connectivity.,keep,2,,,0.003173,0,0.021600,0,0.000789,,0.000600,revise
s300,gptv_0065,Mistral 7B,We found significant moderation effects in rostral middle frontal gyrus and right paracentral lobule cortical thickness for different subscales of the Barratt Impulsiveness Scale.,"In Major Depressive Disorder (MDD), impulsivity (general) is associated with structural connectivity.",revise,1,,,0.004609,0,0.042404,0,0.006776,,0.002466,revise
s300,gptv_0066,Qwen 2.5 7B,We identified a large network showing a significantly stronger increase in connectivity from baseline to the aggression phase in female patients with BPD compared to healthy women.,"In borderline personality disorder, impulsivity (general) is associated with functional connectivity.",keep,2,,,0.164472,0,0.683648,1,0.027626,,0.006374,revise
s300,gptv_0067,Mistral 7B,The VBM analysis showed that impulsivity appears to be reliant on a network of cortical (medial prefrontal cortex and dorsolateral prefrontal cortex) and subcortical (ventral striatum) structures.,impulsivity (general) is correlated with structural connectivity.,revise,1,,,0.797884,1,0.953519,1,0.409464,,0.886230,keep
s300,gptv_0068,Qwen 2.5 7B,the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.,impulsivity (general) is correlated with higher functional connectivity in the default mode network.,keep,2,,,0.006693,0,0.022757,0,0.006023,,0.000805,drop
s300,gptv_0069,Llama 3.1 8B,"Heavier ketamine use was associated with greater psychological distress [Global Severity Index (GSI) r = 0.343, P = 0.011], particularly anxiety (r = 0.457, P < 0.001) and hostility (r = 0.442, P < 0.001).",impulsivity (general) is associated with the neural feature.,keep,2,,,0.004609,0,0.033417,0,0.024675,,0.003016,revise
